id,name,absolute_magnitude,min_estimated_diameter_m,max_estimated_diameter_m,is_potentially_hazardous_asteroid,close_approach_data,speed_km/h,earth_distance_km
2530974,530974 (2012 BN11),20.78,185.5901730037,414.9922427922,True,2026-Jun-08 13:38,26894.5811120264,18129603.282334883
3721139,(2015 LC21),23.0,66.7659413495,149.2931834393,False,2026-Jun-08 15:34,56380.4152141126,51769293.30876811
3843098,(2019 MT3),22.93,68.9532874451,154.1842379994,False,2026-Jun-08 00:56,25175.9588311826,43357281.94466131
54427459,(2024 BY15),26.78,11.709948272,26.1842403492,False,2026-Jun-08 12:23,53916.3185720944,73426935.75915931
